"","subj","condition","eff_mass","movedur","model"
"1",1,1,2.418,0.756683673469388,0
"2",1,2,3.864,0.816231155778894,0
"3",1,3,4.7952,0.766624365482233,0
"4",1,4,6.1771,0.791443298969072,0
"5",1,1,2.418,0.71,1
"6",1,2,3.864,0.77,1
"7",1,3,4.7952,0.79,1
"8",1,4,6.1771,0.83,1
"9",2,1,2.4856,0.8098730964467,0
"10",2,2,3.9334,0.780353535353535,0
"11",2,3,4.8657,0.885628140703518,0
"12",2,4,6.2488,0.835301507537688,0
"13",2,1,2.4856,0.76,1
"14",2,2,3.9334,0.82,1
"15",2,3,4.8657,0.84,1
"16",2,4,6.2488,0.88,1
"17",3,1,2.5917,0.718092783505155,0
"18",3,2,4.0422,0.817722513089005,0
"19",3,3,4.9762,0.792746113989637,0
"20",3,4,6.3611,0.834921875,0
"21",3,1,2.5917,0.73,1
"22",3,2,4.0422,0.79,1
"23",3,3,4.9762,0.82,1
"24",3,4,6.3611,0.85,1
"25",4,1,2.3023,0.78672972972973,0
"26",4,2,3.745,0.860747422680412,0
"27",4,3,4.6741,0.886778350515464,0
"28",4,4,6.0541,0.949739583333333,0
"29",4,1,2.3023,0.79,1
"30",4,2,3.745,0.86,1
"31",4,3,4.6741,0.9,1
"32",4,4,6.0541,0.94,1
"33",5,1,2.5917,0.697810810810811,0
"34",5,2,4.0422,0.71625641025641,0
"35",5,3,4.9762,0.773282828282828,0
"36",5,4,6.3611,0.827948717948718,0
"37",5,1,2.5917,0.69,1
"38",5,2,4.0422,0.74,1
"39",5,3,4.9762,0.77,1
"40",5,4,6.3611,0.8,1
"41",6,1,2.5435,0.637286432160804,0
"42",6,2,3.9928,0.913469387755102,0
"43",6,3,4.926,0.836582914572864,0
"44",6,4,6.3101,0.901225,0
"45",6,1,2.5435,0.77,1
"46",6,2,3.9928,0.82,1
"47",6,3,4.926,0.85,1
"48",6,4,6.3101,0.89,1
"49",7,1,3.0838,0.77994708994709,0
"50",7,2,4.5443,0.782853403141361,0
"51",7,3,5.4857,0.849043715846995,0
"52",7,4,6.8787,0.998519553072626,0
"53",7,1,3.0838,0.78,1
"54",7,2,4.5443,0.84,1
"55",7,3,5.4857,0.87,1
"56",7,4,6.8787,0.9,1
"57",8,1,2.0128,0.86969512195122,0
"58",8,2,3.4458,0.924890510948905,0
"59",8,3,4.3697,0.966808510638298,0
"60",8,4,5.7448,0.964309210526316,0
"61",8,1,2.0128,0.84,1
"62",8,2,3.4458,0.92,1
"63",8,3,4.3697,0.95,1
"64",8,4,5.7448,1,1
"65",9,1,2.2058,0.867215568862275,0
"66",9,2,3.6455,0.973830409356725,0
"67",9,3,4.573,1.05521857923497,0
"68",9,4,5.9513,1.08391428571429,0
"69",9,1,2.2058,0.9,1
"70",9,2,3.6455,0.98,1
"71",9,3,4.573,1.02,1
"72",9,4,5.9513,1.07,1
"73",10,1,2.7364,0.791088082901554,0
"74",10,2,4.1902,0.849102564102564,0
"75",10,3,5.1265,0.79213567839196,0
"76",10,4,6.5138,0.797185929648241,0
"77",10,1,2.7364,0.74,1
"78",10,2,4.1902,0.79,1
"79",10,3,5.1265,0.82,1
"80",10,4,6.5138,0.86,1
"81",11,1,2.64,0.819015544041451,0
"82",11,2,4.0916,0.880287958115183,0
"83",11,3,5.0263,0.965725388601036,0
"84",11,4,6.4121,0.973067010309278,0
"85",11,1,2.64,0.83,1
"86",11,2,4.0916,0.9,1
"87",11,3,5.0263,0.93,1
"88",11,4,6.4121,0.97,1
"89",12,1,2.3795,0.697680412371134,0
"90",12,2,3.8244,0.683567708333333,0
"91",12,3,4.7549,0.729140625,0
"92",12,4,6.1362,0.762552631578947,0
"93",12,1,2.3795,0.65,1
"94",12,2,3.8244,0.7,1
"95",12,3,4.7549,0.73,1
"96",12,4,6.1362,0.76,1
