subject,movedur,effmass,distance ,metpowernet,metpowergross,speed,
1,0.581,2.47,0.1,41,97.79,1,
1,0.645,2.47,0.1,14.9,79.44,2,
1,0.850,2.47,0.1,22.3,86.84,3,
1,0.995,2.47,0.1,3.13,67.65,4,
1,1.229,2.47,0.1,30,94.55,5,
1,1.382,2.47,0.1,23,87.54,6,
1,0.600,4.73,0.1,69.5,130.89,1,
1,0.658,4.73,0.1,42.1,103.48,2,
1,0.850,4.73,0.1,23,84.40,3,
1,1.011,4.73,0.1,11.5,72.87,4,
1,1.232,4.73,0.1,14.1,75.48,5,
1,0.611,6.99,0.1,65.8,122.39,2,
1,0.702,6.99,0.1,54.4,118.89,3,
1,0.842,6.99,0.1,33.3,97.78,4,
1,1.039,6.99,0.1,31.5,95.99,5,
1,1.189,6.99,0.1,26.1,90.57,6,
1,1.435,6.99,0.1,2.6,67.12,7,
1,0.628,11.5,0.1,94.8,156.17,2,
1,0.730,11.5,0.1,53.9,115.27,3,
1,0.894,11.5,0.1,21,82.44,4,
1,1.026,11.5,0.1,28.5,89.87,5,
1,1.204,11.5,0.1,9.57,70.96,6,
1,1.380,11.5,0.1,6.3,67.70,7,
2,0.544,2.47,0.1,154,242.88,1,
2,0.616,2.47,0.1,54,142.78,2,
2,0.821,2.47,0.1,31.5,120.30,3,
2,1.049,2.47,0.1,42.1,130.91,4,
2,1.173,2.47,0.1,55.5,144.29,5,
2,1.352,2.47,0.1,37.2,125.97,6,
2,0.565,4.73,0.1,135,224.18,1,
2,0.642,4.73,0.1,84.7,173.49,2,
2,0.836,4.73,0.1,45.1,133.87,3,
2,1.022,4.73,0.1,45.5,134.36,4,
2,1.207,4.73,0.1,44.8,133.66,5,
2,1.395,4.73,0.1,29.7,118.55,6,
2,0.574,6.99,0.1,174,258.37,2,
2,0.650,6.99,0.1,121,206.07,3,
2,0.848,6.99,0.1,59.5,144.32,4,
2,0.991,6.99,0.1,70.8,155.64,5,
2,1.165,6.99,0.1,42.5,127.32,6,
2,1.378,6.99,0.1,29.7,114.60,7,
2,0.562,11.5,0.1,295,379.78,2,
