c,s,t,method,react_indx
1,2,1,3,36
1,2,1,4,33
2,2,1,3,36
2,2,1,4,33
1,2,2,3,36
1,2,2,4,33
2,2,2,3,36
2,2,2,4,33
1,2,3,3,36
1,2,3,4,33
2,2,3,3,36
2,2,3,4,33
1,2,4,3,36
1,2,4,4,33
2,2,4,3,36
2,2,4,4,33
1,3,1,3,37
1,3,1,4,33
2,3,1,3,37
2,3,1,4,33
1,3,2,3,38
1,3,2,4,33
2,3,2,3,38
2,3,2,4,33
1,3,3,3,37
1,3,3,4,33
2,3,3,3,37
2,3,3,4,33
1,3,4,3,38
1,3,4,4,33
2,3,4,3,38
2,3,4,4,33
1,4,1,3,39
1,4,1,4,35
2,4,1,3,39
2,4,1,4,35
1,4,2,3,39
1,4,2,4,35
2,4,2,3,39
2,4,2,4,35
1,4,3,3,39
1,4,3,4,35
2,4,3,3,39
2,4,3,4,35
1,4,4,3,39
1,4,4,4,35
2,4,4,3,39
2,4,4,4,35
1,5,1,3,41
1,5,1,4,36
2,5,1,3,41
2,5,1,4,36
1,5,2,3,41
1,5,2,4,36
2,5,2,3,41
2,5,2,4,36
1,5,3,3,41
1,5,3,4,36
2,5,3,3,41
2,5,3,4,36
1,5,4,3,41
1,5,4,4,36
2,5,4,3,41
2,5,4,4,36
1,6,1,3,44
1,6,1,4,36
2,6,1,3,44
2,6,1,4,36
1,6,2,3,44
1,6,2,4,36
2,6,2,3,44
2,6,2,4,36
1,6,3,3,44
1,6,3,4,36
2,6,3,3,44
2,6,3,4,36
1,6,4,3,44
1,6,4,4,36
2,6,4,3,44
2,6,4,4,36
3,1,1,3,35
3,1,1,4,33
4,1,1,3,35
4,1,1,4,33
3,1,2,3,35
3,1,2,4,33
4,1,2,3,35
4,1,2,4,33
3,1,3,3,35
3,1,3,4,33
4,1,3,3,35
4,1,3,4,33
3,1,4,3,35
3,1,4,4,33
4,1,4,3,35
4,1,4,4,33
3,2,1,3,36
3,2,1,4,33
4,2,1,3,36
4,2,1,4,33
3,2,2,3,36
3,2,2,4,33
4,2,2,3,36
4,2,2,4,33
3,2,3,3,36
3,2,3,4,33
4,2,3,3,36
4,2,3,4,33
3,2,4,3,36
3,2,4,4,33
4,2,4,3,36
4,2,4,4,33
3,3,1,3,37
3,3,1,4,33
4,3,1,3,37
4,3,1,4,33
3,3,2,3,38
3,3,2,4,33
4,3,2,3,38
4,3,2,4,33
3,3,3,3,37
3,3,3,4,33
4,3,3,3,37
4,3,3,4,33
3,3,4,3,38
3,3,4,4,33
4,3,4,3,38
4,3,4,4,33
3,4,1,3,39
3,4,1,4,35
4,4,1,3,39
4,4,1,4,35
3,4,2,3,39
3,4,2,4,35
4,4,2,3,39
4,4,2,4,35
3,4,3,3,39
3,4,3,4,35
4,4,3,3,39
4,4,3,4,35
3,4,4,3,39
3,4,4,4,35
4,4,4,3,39
4,4,4,4,35
3,5,1,3,41
3,5,1,4,36
4,5,1,3,41
4,5,1,4,36
3,5,2,3,41
3,5,2,4,36
4,5,2,3,41
4,5,2,4,36
3,5,3,3,41
3,5,3,4,36
4,5,3,3,41
4,5,3,4,36
3,5,4,3,41
3,5,4,4,36
4,5,4,3,41
4,5,4,4,36
