c,subj,s,t,movedur,sum_t2
1,1,2,1,0.57688,0.03203
1,1,2,2,0.54971,0.45801
1,1,2,3,0.572,0.084706
1,1,2,4,0.53353,0.53827
1,1,2,5,0.65778,0.041245
1,1,2,6,0.54706,0.54676
1,1,2,7,0.599,0.08747
1,1,2,8,0.59361,0.45781
1,1,3,1,0.64,0.023226
1,1,3,2,0.58867,0.31291
1,1,3,3,0.64625,0.040454
1,1,3,4,0.60367,0.31008
1,1,3,5,0.67462,0.027503
1,1,3,6,0.618,0.4006
1,1,3,7,0.66594,0.052786
1,1,3,8,0.62562,0.35086
1,1,4,1,0.85083,0.0055262
1,1,4,2,0.81708,0.075351
1,1,4,3,0.82071,0.013369
1,1,4,4,0.80536,0.075737
1,1,4,5,0.88542,0.0083615
1,1,4,6,0.82958,0.066975
1,1,4,7,0.86429,0.018091
1,1,4,8,0.83267,0.071943
1,1,5,1,1.0273,0.0026693
1,1,5,2,0.97208,0.032522
1,1,5,3,0.9525,0.005025
1,1,5,4,0.9835,0.029602
1,1,5,5,1.0354,0.0035303
1,1,5,6,1.0408,0.028861
1,1,5,7,1.0531,0.007494
1,1,5,8,0.98545,0.031896
1,1,6,1,1.1869,0.0017257
1,1,6,2,1.2594,0.015997
1,1,6,3,1.1936,0.0028149
1,1,6,4,1.1625,0.015293
1,1,6,5,1.2384,0.0028748
1,1,6,6,1.2867,0.015747
1,1,6,7,1.2258,0.0038989
1,1,6,8,1.2208,0.01475
1,2,2,1,0.52639,0.063794
1,2,2,2,0.49792,0.97628
1,2,2,3,0.55036,0.10447
1,2,2,4,0.53962,0.80745
1,2,2,5,0.6,0.060642
1,2,2,6,0.57208,0.80525
1,2,2,7,0.58125,0.11838
1,2,2,8,0.54423,0.95784
1,2,3,1,0.61167,0.031605
1,2,3,2,0.60042,0.44353
1,2,3,3,0.62906,0.053183
1,2,3,4,0.5675,0.45346
1,2,3,5,0.69167,0.032465
1,2,3,6,0.61583,0.39065
1,2,3,7,0.66969,0.052169
1,2,3,8,0.57265,0.50463
1,2,4,1,0.77333,0.011947
1,2,4,2,0.76769,0.15174
1,2,4,3,0.77542,0.028915
1,2,4,4,0.78176,0.14556
1,2,4,5,0.87167,0.015093
1,2,4,6,0.84679,0.11575
1,2,4,7,0.88333,0.021602
1,2,4,8,0.84265,0.11802
1,2,5,1,0.94937,0.0050186
1,2,5,2,1.0025,0.05902
1,2,5,3,0.9835,0.0091184
1,2,5,4,0.99321,0.048774
1,2,5,5,1.0125,0.0076545
1,2,5,6,1.0679,0.067115
1,2,5,7,1.0435,0.0091963
1,2,5,8,1.0627,0.058227
1,2,6,1,1.0796,0.0023694
