movedur,added_mass,target,effmass,effmass_mean,sum_t2
0.2,0,1,1.5426,1.5175,0.075912
0.2,0,2,3.0961,3.1557,0.48843
0.2,0,3,1.5426,1.6955,0.10848
0.2,0,4,3.0961,3.1409,0.42337
0.2,0,5,1.5377,1.5172,0.055404
0.2,0,6,3.2713,3.1677,0.47222
0.2,0,7,1.894,1.7195,0.14206
0.2,0,8,3.2132,3.1489,0.45659
0.3,0,1,1.5426,1.5167,0.1231
0.3,0,2,3.0961,3.1569,0.8872
0.3,0,3,1.5426,1.6989,0.22066
0.3,0,4,3.0961,3.1419,0.78944
0.3,0,5,1.5377,1.5165,0.11485
0.3,0,6,3.2713,3.1651,0.86333
0.3,0,7,1.894,1.7154,0.23501
0.3,0,8,3.2132,3.1474,0.815
0.4,0,1,1.5426,1.5163,0.11799
0.4,0,2,3.0961,3.1575,0.89809
0.4,0,3,1.5426,1.7007,0.2392
0.4,0,4,3.0961,3.1424,0.82597
0.4,0,5,1.5377,1.5162,0.12567
0.4,0,6,3.2713,3.1638,0.89608
0.4,0,7,1.894,1.7133,0.22807
0.4,0,8,3.2132,3.1465,0.81936
0.5,0,1,1.5426,1.5161,0.081294
0.5,0,2,3.0961,3.1579,0.6144
0.5,0,3,1.5426,1.7018,0.16529
0.5,0,4,3.0961,3.1427,0.56556
0.5,0,5,1.5377,1.5159,0.087378
0.5,0,6,3.2713,3.1629,0.61271
0.5,0,7,1.894,1.712,0.15643
0.5,0,8,3.2132,3.146,0.56034
0.6,0,1,1.5426,1.5159,0.052498
0.6,0,2,3.0961,3.1581,0.38557
0.6,0,3,1.5426,1.7026,0.10362
0.6,0,4,3.0961,3.1429,0.35347
0.6,0,5,1.5377,1.5158,0.055119
0.6,0,6,3.2713,3.1624,0.3832
0.6,0,7,1.894,1.7111,0.099889
0.6,0,8,3.2132,3.1457,0.35234
0.7,0,1,1.5426,1.5158,0.03436
0.7,0,2,3.0961,3.1583,0.24738
0.7,0,3,1.5426,1.7031,0.066468
0.7,0,4,3.0961,3.143,0.22645
0.7,0,5,1.5377,1.5157,0.035489
0.7,0,6,3.2713,3.162,0.24574
0.7,0,7,1.894,1.7104,0.064887
0.7,0,8,3.2132,3.1455,0.22638
0.8,0,1,1.5426,1.5157,0.023398
0.8,0,2,3.0961,3.1585,0.16683
0.8,0,3,1.5426,1.7035,0.044811
0.8,0,4,3.0961,3.1431,0.15274
0.8,0,5,1.5377,1.5156,0.023953
0.8,0,6,3.2713,3.1617,0.16593
0.8,0,7,1.894,1.7099,0.044034
0.8,0,8,3.2132,3.1453,0.15276
0.9,0,1,1.5426,1.5156,0.016587
0.9,0,2,3.0961,3.1586,0.1177
0.9,0,3,1.5426,1.7038,0.031583
0.9,0,4,3.0961,3.1432,0.1078
0.9,0,5,1.5377,1.5156,0.016881
0.9,0,6,3.2713,3.1614,0.11722
0.9,0,7,1.894,1.7095,0.031169
0.9,0,8,3.2132,3.1451,0.10781
1,0,1,1.5426,1.5156,0.012157
1,0,2,3.0961,3.1587,0.086025
1,0,3,1.5426,1.7041,0.023057
1,0,4,3.0961,3.1433,0.078802
1,0,5,1.5377,1.5155,0.012321
1,0,6,3.2713,3.1612,0.085746
1,0,7,1.894,1.7092,0.022827
1,0,8,3.2132,3.145,0.078817
1.1,0,1,1.5426,1.5155,0.0091622
1.1,0,2,3.0961,3.1587,0.064707
1.1,0,3,1.5426,1.7043,0.01733
1.1,0,4,3.0961,3.1433,0.059287
1.1,0,5,1.5377,1.5155,0.009258
1.1,0,6,3.2713,3.1611,0.064541
1.1,0,7,1.894,1.709,0.017195
1.1,0,8,3.2132,3.1449,0.059298
1.2,0,1,1.5426,1.5155,0.0070713
1.2,0,2,3.0961,3.1588,0.049871
1.2,0,3,1.5426,1.7045,0.013349
1.2,0,4,3.0961,3.1434,0.045703
1.2,0,5,1.5377,1.5154,0.0071298
1.2,0,6,3.2713,3.161,0.049768
1.2,0,7,1.894,1.7088,0.013266
1.2,0,8,3.2132,3.1448,0.045711
1.3,0,1,1.5426,1.5155,0.0055693
1.3,0,2,3.0961,3.1589,0.039239
1.3,0,3,1.5426,1.7046,0.010498
1.3,0,4,3.0961,3.1434,0.035966
1.3,0,5,1.5377,1.5154,0.0056065
1.3,0,6,3.2713,3.1608,0.039173
1.3,0,7,1.894,1.7086,0.010446
1.3,0,8,3.2132,3.1448,0.035971
1.4,0,1,1.5426,1.5154,0.0044634
1.4,0,2,3.0961,3.1589,0.031423
1.4,0,3,1.5426,1.7047,0.0084045
1.4,0,4,3.0961,3.1435,0.028806
1.4,0,5,1.5377,1.5154,0.0044877
1.4,0,6,3.2713,3.1608,0.03138
1.4,0,7,1.894,1.7084,0.0083704
1.4,0,8,3.2132,3.1447,0.028809
1.5,0,1,1.5426,1.5154,0.0036314
1.5,0,2,3.0961,3.1589,0.02555
1.5,0,3,1.5426,1.7048,0.0068322
1.5,0,4,3.0961,3.1435,0.023425
1.5,0,5,1.5377,1.5154,0.0036477
1.5,0,6,3.2713,3.1607,0.025521
1.5,0,7,1.894,1.7083,0.0068092
1.5,0,8,3.2132,3.1447,0.023427
1.6,0,1,1.5426,1.5154,0.0029937
1.6,0,2,3.0961,3.159,0.021054
1.6,0,3,1.5426,1.7049,0.0056287
1.6,0,4,3.0961,3.1435,0.019304
1.6,0,5,1.5377,1.5153,0.0030049
1.6,0,6,3.2713,3.1606,0.021034
1.6,0,7,1.894,1.7082,0.0056129
1.6,0,8,3.2132,3.1446,0.019306
1.7,0,1,1.5426,1.5154,0.0024968
1.7,0,2,3.0961,3.159,0.017553
1.7,0,3,1.5426,1.705,0.0046921
1.7,0,4,3.0961,3.1436,0.016096
1.7,0,5,1.5377,1.5153,0.0025047
1.7,0,6,3.2713,3.1605,0.017539
1.7,0,7,1.894,1.7081,0.004681
1.7,0,8,3.2132,3.1446,0.016097
1.8,0,1,1.5426,1.5154,0.002104
1.8,0,2,3.0961,3.159,0.014787
1.8,0,3,1.5426,1.7051,0.0039522
1.8,0,4,3.0961,3.1436,0.01356
1.8,0,5,1.5377,1.5153,0.0021097
1.8,0,6,3.2713,3.1605,0.014777
1.8,0,7,1.894,1.708,0.0039443
1.8,0,8,3.2132,3.1445,0.013561
1.9,0,1,1.5426,1.5153,0.0017894
1.9,0,2,3.0961,3.1591,0.012573
1.9,0,3,1.5426,1.7052,0.0033601
1.9,0,4,3.0961,3.1436,0.01153
1.9,0,5,1.5377,1.5153,0.0017935
1.9,0,6,3.2713,3.1604,0.012565
1.9,0,7,1.894,1.7079,0.0033543
1.9,0,8,3.2132,3.1445,0.011531
2,0,1,1.5426,1.5153,0.0015344
2,0,2,3.0961,3.1591,0.01078
2,0,3,1.5426,1.7052,0.0028806
2,0,4,3.0961,3.1436,0.009886
2,0,5,1.5377,1.5153,0.0015375
2,0,6,3.2713,3.1604,0.010774
2,0,7,1.894,1.7078,0.0028763
2,0,8,3.2132,3.1445,0.0098864
2.1,0,1,1.5426,1.5153,0.0013257
2.1,0,2,3.0961,3.1591,0.0093116
2.1,0,3,1.5426,1.7053,0.0024882
2.1,0,4,3.0961,3.1436,0.0085401
2.1,0,5,1.5377,1.5153,0.001328
2.1,0,6,3.2713,3.1603,0.0093075
2.1,0,7,1.894,1.7078,0.0024849
2.1,0,8,3.2132,3.1445,0.0085404
2.2,0,1,1.5426,1.5153,0.0011532
2.2,0,2,3.0961,3.1591,0.0080986
2.2,0,3,1.5426,1.7053,0.0021639
2.2,0,4,3.0961,3.1436,0.0074277
2.2,0,5,1.5377,1.5153,0.0011549
2.2,0,6,3.2713,3.1603,0.0080954
2.2,0,7,1.894,1.7077,0.0021615
2.2,0,8,3.2132,3.1444,0.007428
2.3,0,1,1.5426,1.5153,0.0010093
2.3,0,2,3.0961,3.1591,0.0070874
2.3,0,3,1.5426,1.7054,0.0018937
2.3,0,4,3.0961,3.1437,0.0065005
2.3,0,5,1.5377,1.5153,0.0010106
2.3,0,6,3.2713,3.1603,0.007085
2.3,0,7,1.894,1.7077,0.0018918
2.3,0,8,3.2132,3.1444,0.0065007
2.4,0,1,1.5426,1.5153,0.00088838
2.4,0,2,3.0961,3.1591,0.0062378
2.4,0,3,1.5426,1.7054,0.0016666
2.4,0,4,3.0961,3.1437,0.0057213
2.4,0,5,1.5377,1.5152,0.00088944
2.4,0,6,3.2713,3.1602,0.0062359
2.4,0,7,1.894,1.7076,0.0016651
2.4,0,8,3.2132,3.1444,0.0057215
2.5,0,1,1.5426,1.5153,0.00078604
2.5,0,2,3.0961,3.1592,0.0055187
2.5,0,3,1.5426,1.7055,0.0014744
2.5,0,4,3.0961,3.1437,0.0050619
2.5,0,5,1.5377,1.5152,0.00078687
2.5,0,6,3.2713,3.1602,0.0055172
2.5,0,7,1.894,1.7076,0.0014733
2.5,0,8,3.2132,3.1444,0.005062
2.6,0,1,1.5426,1.5153,0.00069883
2.6,0,2,3.0961,3.1592,0.0049061
2.6,0,3,1.5426,1.7055,0.0013107
2.6,0,4,3.0961,3.1437,0.0045
2.6,0,5,1.5377,1.5152,0.00069949
2.6,0,6,3.2713,3.1602,0.0049049
2.6,0,7,1.894,1.7075,0.0013098
2.6,0,8,3.2132,3.1444,0.0045001
2.7,0,1,1.5426,1.5153,0.00062405
2.7,0,2,3.0961,3.1592,0.0043808
2.7,0,3,1.5426,1.7055,0.0011704
2.7,0,4,3.0961,3.1437,0.0040183
2.7,0,5,1.5377,1.5152,0.00062458
2.7,0,6,3.2713,3.1601,0.0043799
2.7,0,7,1.894,1.7075,0.0011696
2.7,0,8,3.2132,3.1443,0.0040184
2.8,0,1,1.5426,1.5152,0.00055957
2.8,0,2,3.0961,3.1592,0.003928
2.8,0,3,1.5426,1.7056,0.0010494
2.8,0,4,3.0961,3.1437,0.003603
2.8,0,5,1.5377,1.5152,0.00056
2.8,0,6,3.2713,3.1601,0.0039272
2.8,0,7,1.894,1.7074,0.0010488
2.8,0,8,3.2132,3.1443,0.003603
2.9,0,1,1.5426,1.5152,0.00050367
2.9,0,2,3.0961,3.1592,0.0035354
2.9,0,3,1.5426,1.7056,0.00094447
2.9,0,4,3.0961,3.1437,0.003243
2.9,0,5,1.5377,1.5152,0.00050402
2.9,0,6,3.2713,3.1601,0.0035348
2.9,0,7,1.894,1.7074,0.00094398
2.9,0,8,3.2132,3.1443,0.003243
3,0,1,1.5426,1.5152,0.00045498
3,0,2,3.0961,3.1592,0.0031935
3,0,3,1.5426,1.7056,0.00085312
3,0,4,3.0961,3.1437,0.0029293
3,0,5,1.5377,1.5152,0.00045527
3,0,6,3.2713,3.1601,0.003193
3,0,7,1.894,1.7074,0.00085272
3,0,8,3.2132,3.1443,0.0029294
0.2,1,1,2.6396,2.7043,0.7416
0.2,1,2,4.3366,4.4798,1.034
0.2,1,3,2.6396,2.7029,0.72064
0.2,1,4,4.3366,4.3368,0.8539
0.2,1,5,2.8201,2.7166,0.62383
0.2,1,6,4.7133,4.5055,0.92243
0.2,1,7,2.8092,2.7144,0.87087
0.2,1,8,4.3632,4.3386,0.99682
0.3,1,1,2.6396,2.7056,1.2736
0.3,1,2,4.3366,4.4828,1.8215
0.3,1,3,2.6396,2.7042,1.4129
0.3,1,4,4.3366,4.3367,1.6398
0.3,1,5,2.8201,2.7141,1.215
0.3,1,6,4.7133,4.5005,1.7395
0.3,1,7,2.8092,2.7121,1.4916
0.3,1,8,4.3632,4.3379,1.7294
0.4,1,1,2.6396,2.7063,1.26
0.4,1,2,4.3366,4.4844,1.8168
0.4,1,3,2.6396,2.7049,1.5037
0.4,1,4,4.3366,4.3366,1.7343
0.4,1,5,2.8201,2.7128,1.2884
0.4,1,6,4.7133,4.4979,1.8252
0.4,1,7,2.8092,2.7109,1.4746
0.4,1,8,4.3632,4.3376,1.7137
0.5,1,1,2.6396,2.7068,0.86113
0.5,1,2,4.3366,4.4854,1.2388
0.5,1,3,2.6396,2.7053,1.0324
0.5,1,4,4.3366,4.3366,1.1856
0.5,1,5,2.8201,2.712,0.88383
0.5,1,6,4.7133,4.4962,1.2458
0.5,1,7,2.8092,2.7102,1.0089
0.5,1,8,4.3632,4.3374,1.1689
0.6,1,1,2.6396,2.707,0.54381
